date,open,high,low,close,volume
2023-08-10,177.0,178.25,175.14,175.51,54686900
2023-08-11,175.1,176.39,174.34,175.57,52036700
2023-08-14,175.75,177.45,175.09,177.22,43675600
2023-08-15,176.65,177.24,174.84,175.23,43622600
2023-08-16,174.92,176.31,174.29,174.36,46964900
2023-08-17,174.93,175.29,171.31,171.83,66062900
2023-08-18,170.15,172.91,169.81,172.31,61172200
2023-08-21,172.88,173.93,171.57,173.64,46311900
2023-08-22,174.85,175.46,174.05,175.02,42038900
2023-08-23,176.29,179.28,176.1,178.86,52722800
2023-08-24,178.41,178.84,173.81,174.18,54945800
2023-08-25,175.16,176.91,173.62,176.38,51449600
2023-08-28,177.84,178.33,176.32,177.94,43820700
2023-08-29,177.45,182.59,177.26,181.82,53003900
2023-08-30,182.63,185.5,182.43,185.31,60813900
2023-08-31,185.49,186.76,185.14,185.52,60794500
2023-09-01,187.12,187.55,185.93,187.09,45766500
2023-09-05,185.93,187.61,185.27,187.33,45280000
2023-09-06,186.05,186.49,179.2,180.62,81755800
2023-09-07,172.99,175.98,171.37,175.34,112488800
2023-09-08,176.12,177.99,175.57,175.95,65551300
2023-09-11,177.82,178.05,175.12,177.12,58953100
2023-09-12,177.25,177.88,172.64,174.1,90370200
2023-09-13,174.3,175.08,171.81,172.03,84267900
2023-09-14,171.83,173.9,171.41,173.54,60895800
2023-09-15,174.28,174.29,171.65,172.82,109259500
2023-09-18,174.28,177.14,173.97,175.75,67257600
2023-09-19,175.3,177.39,174.92,176.83,51826900
2023-09-20,177.02,177.45,173.21,173.3,58436200
2023-09-21,172.37,174.1,171.69,171.76,63149100
2023-09-22,172.49,174.87,171.88,172.61,56725400
2023-09-25,172.02,174.76,171.97,173.88,46172700
2023-09-26,172.64,173.01,169.52,169.81,64588900
2023-09-27,170.46,170.88,166.94,168.3,66921800
2023-09-28,167.22,169.88,165.53,168.56,56294400
2023-09-29,169.87,170.91,168.21,169.07,51861100
2023-10-02,169.08,172.12,168.79,171.58,52164500
2023-10-03,170.11,171.46,168.69,170.25,49594600
2023-10-04,168.95,172.03,168.83,171.49,53020300
2023-10-05,171.62,173.26,170.52,172.72,48527900
2023-10-06,171.63,175.77,171.02,175.27,57266700
2023-10-09,174.6,176.81,173.6,176.75,42390800
2023-10-10,175.87,177.47,175.73,176.16,43698000
2023-10-11,175.97,177.6,175.38,177.55,47551100
2023-10-12,177.82,180.06,176.8,178.45,56743100
2023-10-13,179.15,179.66,175.91,176.62,51427100
2023-10-16,174.54,176.84,174.3,176.49,52517000
2023-10-17,174.44,176.19,172.62,174.94,57549400
2023-10-18,173.39,175.36,172.92,173.64,54764400
2023-10-19,173.84,175.62,173.0,173.27,59302900
2023-10-20,173.12,173.23,170.48,170.72,64244000
2023-10-23,168.77,171.84,167.81,170.84,55980100
2023-10-24,170.89,171.5,169.31,171.27,43816600
2023-10-25,169.73,170.9,168.52,168.96,57157000
2023-10-26,168.24,169.24,163.6,164.8,70625300
2023-10-27,164.82,166.85,164.75,166.12,58499100
2023-10-30,166.91,169.03,166.76,168.16,51131000
2023-10-31,167.23,168.76,165.8,168.64,44846000
2023-11-01,168.86,172.05,167.99,171.8,56934900
2023-11-02,173.33,175.56,173.27,175.35,77334800
2023-11-03,172.06,174.61,171.18,174.44,79829200
2023-11-06,174.18,177.19,174.01,176.99,63841300
2023-11-07,176.94,180.16,176.73,179.55,70530000
2023-11-08,180.07,181.16,179.32,180.61,49340300
2023-11-09,180.67,181.82,179.54,180.13,53763500
2023-11-10,181.91,184.48,181.48,184.31,66133400
2023-11-13,183.74,183.95,182.15,182.73,43627500
2023-11-14,185.6,186.0,184.21,185.34,60108400
2023-11-15,185.75,187.38,185.68,185.91,53790500
2023-11-16,187.45,188.82,186.54,187.59,54412900
2023-11-17,188.12,188.25,186.46,187.57,50922700
2023-11-20,187.76,189.76,187.75,189.31,46505100
2023-11-21,189.27,189.38,187.62,188.51,38134500
2023-11-22,189.35,190.77,188.69,189.17,39617700
2023-11-24,188.73,188.76,187.13,187.84,24048300
2023-11-27,187.79,188.54,186.79,187.67,40552600
2023-11-28,187.66,188.94,187.28,188.27,38415400
2023-11-29,188.76,189.94,186.85,187.25,43014200
